Example,pH,Na,K,Mg,Ca,NH4,Cl,HCO3,SO4,NO3,Fe(2),Mn(2)
1,5.52,4.2,2.2,4.2,4,0.06,5,4,31,4.4,0.07,0.08
2,6.03,8.9,0.9,0.7,2,0.06,15,5,3,1.2,0.04,0.001
3,6.58,5.8,0.7,1,4,0.08,8,13,6,0,2.6,0.03
4,6.38,6.4,0.8,0.7,5,0.04,9,24,6,0,0.67,0.04
5,7.13,17,27,9.4,140,0.63,19,480,80,0,14.8,0.62
6,7.53,19,3.2,11.6,133,0.06,34,229,160,35,0.02,0.52
7,7.74,21,2.4,11.2,94,0.07,33,146,81,110,0.02,0.2
8,7.68,15,0.7,5,80,0.11,30,191,58,0,2.1,0.13
9,7.48,54,5,8.7,98,0.04,80,245,94,0.2,0.07,0.44
10,8.16,30,1.8,11.1,73,0.01,48,81,64,110,0.03,0
